Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
ELECTCAST,ELECTROSTEEL CASTINGS LTD,125.87,INR,-3.533108522378898,4798696,1.3503447973116334,77829438346,INR,10.968680830297854,11.4754,INR,-6.545267975665962,1.1119936457506,Non-energy minerals,Strong buy
BALUFORGE,BALU FORGE INDUSTRIES LTD,692.65,INR,-0.07934218118869997,92095,0.4401121128200962,77786243400,INR,,,,,0.0216153901577923,Producer manufacturing,Strong buy
BLACKBUCK,ZINKA LOGISTICS SOL LTD,434.45,INR,0.9409851301115268,1006084,2.5248410060174535,77785675162,INR,66.42661651606196,6.5403,INR,,0,Technology services,Strong buy
SYMPHONY,SYMPHONY LTD,1130.7,INR,0.1328374070138151,61840,0.6960757939192422,77612415162,INR,36.65130209852772,30.8502,INR,44.010419097945125,1.15023889577066,Producer manufacturing,Buy
EQUITASBNK,EQUITAS SMALL FIN BNK LTD,67.93,INR,-0.48344564898915654,1491405,0.3705857757709129,77380919400,INR,52.98751950078004,1.282,INR,-81.71184022824536,1.47362216327734,Finance,Buy
THOMASCOOK,THOMAS COOK (INDIA) LTD,164.17,INR,3.84591055727749,4907839,4.596067517585124,77354080703,INR,30.023774689100218,5.468,INR,-1.9016864011481858,0.364852538765582,Consumer services,Strong buy
TDPOWERSYS,TD POWER SYSTEMS LTD.,494.55,INR,0.17216933360340747,282029,0.26990600963369676,77303079185,INR,44.26295533876309,11.173,INR,47.42828490750271,0.242448732195171,Producer manufacturing,
MAHLIFE,MAHINDRA LIFESPACE DEVLTD,361.55,INR,0.3608605135322724,96621,0.20651099207606158,77102598186,INR,99.7957437412018,3.6229,INR,-37.66303038645514,0.67292767252109,Finance,Buy
SFL,SHEELA FOAM LTD,698.5,INR,-1.0483071256551888,121769,0.8222712619337342,75999707078,INR,79.1465542638294,8.8254,INR,-50.04952372327841,0,Process industries,Buy
AJAXENGG,AJAX ENGINEERING LTD,662.7,INR,3.2645111024542337,534218,3.304865759044925,75817386360,INR,,,,,0,Producer manufacturing,Buy
GPPL,GUJARAT PIPAVAV PORT LTD,157.07,INR,-0.8459061927908613,821919,0.43264790133771386,75803379503,INR,19.141572321678833,8.2057,INR,15.993101790989925,4.91071428571429,Transportation,Neutral
EPL,EPL LTD,236.78,INR,-1.7020923281301872,308893,0.7395865930910177,75709944946,INR,21.10338680926916,11.22,INR,67.6253081347576,2.02745512143611,Process industries,Strong buy
PARAS,PARAS DEF AND SPCE TECH L,933.6,INR,9.990574929311977,4770643,2.7697027923085327,75228268867,INR,116.76129968233323,7.9958,INR,94.53081283604605,0,Electronic technology,Strong buy
SHAILY,SHAILY ENG PLASTICS LTD,1628.4,INR,-0.9308267932104372,43149,0.6306775080426036,74621882880,INR,80.36282701067458,20.2631,INR,62.443983036580384,0.0615839389087326,Process industries,Strong buy
ELLEN,ELLENBARRIE INDUS GASES L,562.3,INR,-2.429290300190873,2634779,,73592353980,INR,,,,,0,Process industries,
DBL,DILIP BUILDCON LTD,502.35,INR,-0.8095567183334911,95395,0.3169271208818079,73560750197,INR,10.215743653671343,49.1741,INR,270.55197618778493,0.198767640628106,Industrial services,Neutral
DIACABS,DIAMOND POWER INFRA LTD,139.48,INR,0.3453237410071869,2757927,0.3046370992372449,73512464172,INR,211.5898058252427,0.6592,INR,104.02352212937171,0,Producer manufacturing,
WELENT,WELSPUN ENTERPRISES LTD.,531.25,INR,-0.5708403518622412,96061,0.35026238412218724,73490818548,INR,22.800429184549355,23.3,INR,9.606826670680885,0.565024955268858,Industrial services,Neutral
RELIGARE,RELIGARE ENTER. LTD.,222.25,INR,-0.14377499213730205,468839,0.691377726865991,73454707664,INR,59.15781628470282,3.7569,INR,-46.33,0,Finance,
TIIL,TECHNOCRAFT IND LTD,3241.3,INR,3.4303401621035166,23277,1.0564703532914563,73450799123,INR,28.888849276731523,112.199,INR,-2.489240695548183,0.617360167921966,Producer manufacturing,
KTKBANK,KARNATAKA BANK LTD,193.7,INR,-0.11859949466303212,1151289,0.35798301988194436,73193569304,INR,5.763165724486759,33.61,INR,-15.743294058661322,2.84017557449006,Finance,Buy
